############,,,,,,,,
# title: bed and marly interbed thickness of the Voirons Flysch outcrops,,,,,,,,
# author: Jérémy Ragusa and Lina Maria Ospina-Ostios,,,,,,,,
# date: 2016/07/04,,,,,,,,
############,,,,,,,,
Todo: replace values with formation abbrev. in unit column,,,,,,,,
############,,,,,,,,
outcrop,section,thickness,rock,bed,province,index,unit,comment
Saxel supérieure,block 2,10,m,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,80,g,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,120,m,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,180,g,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,15,m,,Voirons NW,Saxel-sup-2,1,
Saxel supérieure,block 2,200,g,,Voirons NW,Saxel-sup-2,1,
D20 talus 890,D20 talus 890,190,g,,Voirons NW,D20-890,1,
D20 talus 890,D20 talus 890,50,h,,Voirons NW,D20-890,1,
D20 talus 890,D20 talus 890,10,g,,Voirons NW,D20-890,1,
D20 talus 890,D20 talus 890,10,g,,Voirons NW,D20-890,1,
D20 talus 890,D20 talus 890,10,g,,Voirons NW,D20-890,1,
D20 talus 890,D20 talus 890,10,g,,Voirons NW,D20-890,1,
D20 talus 890,D20 talus 890,10,g,,Voirons NW,D20-890,1,
D20 talus 890,D20 talus 890,15,g,,Voirons NW,D20-890,1,
D20 talus 890,D20 talus 890,300,h,,Voirons NW,D20-890,1,
D20 talus 890,D20 talus 890,60,g,,Voirons NW,D20-890,1,
D20 talus 890,D20 talus 890,80,g,,Voirons NW,D20-890,1,
D20 talus 890,D20 talus 890,90,g,,Voirons NW,D20-890,1,
D20 talus 890,D20 talus 890,50,g,,Voirons NW,D20-890,1,
D20 talus 890,D20 talus 890,20,g,,Voirons NW,D20-890,1,
D20 talus 890,D20 talus 890,300,h,,Voirons NW,D20-890,1,
D20 talus 890,D20 talus 890,25,g,,Voirons NW,D20-890,1,
D20 talus 890,D20 talus 890,10,g,,Voirons NW,D20-890,1,
D20 talus 890,D20 talus 890,6,g,,Voirons NW,D20-890,1,
D20 talus 890,D20 talus 890,20,g,,Voirons NW,D20-890,1,
D20 talus 890,D20 talus 890,4,g,,Voirons NW,D20-890,1,
D20 talus 890,D20 talus 890,5,g,,Voirons NW,D20-890,1,
D20 talus 890,D20 talus 890,100,h,,Voirons NW,D20-890,1,
D20 talus 890,D20 talus 890,40,g,,Voirons NW,D20-890,1,
D20 talus 890,D20 talus 890,100,h,,Voirons NW,D20-890,1,
D20 talus 890,D20 talus 890,30,g,,Voirons NW,D20-890,1,
D20 talus 890,D20 talus 890,30,g,,Voirons NW,D20-890,1,
D20 talus 890,D20 talus 890,300,h,,Voirons NW,D20-890,1,
D20 talus 890,D20 talus 890,110,g,,Voirons NW,D20-890,1,
D20 talus 890,D20 talus 890,90,g,,Voirons NW,D20-890,1,
